"","site_code","speciesnumber","num"
"236609","ufrec.us",2,1
"82125","gce_salt.us",7,2
"255947","wupatki.us",13,3
"82004","gce_fresh.us",14,4
"137120","lead.us",14,5
"161993","pape.de",16,6
"162395","sval.no",16,7
"208660","sirsi.in",16,8
"82301","glac.us",17,9
"17789","bynb.cn",18,10
"69301","derr.au",18,11
"81865","gce_brackish.us",18,12
"33575","bunya.au",19,13
"149674","mitch.au",19,14
"241554","ucsc.us",19,15
"140215","lubb.us",20,16
"147491","meto.us",21,17
"1","abisko.se",23,18
"71915","elkh.us",24,19
"183069","spv.ar",26,20
"234447","lagoas.br",26,21
"91931","hogtwo.us",27,22
"110","amcamp.us",28,23
"67652","cowi.ca",28,24
"164807","ping.au",28,25
"110408","kidman.au",29,26
"227479","tejon_south.us",29,27
"232695","trel.us",29,28
"159126","nilla.au",30,29
"82502","glcr.us",31,30
"91472","hogone.us",31,31
"108805","kibber.in",31,32
"132622","lakta.se",33,33
"241678","uwo.ca",33,34
"87884","hast.us",35,35
"100429","jasp.us",35,36
"147796","msum.us",35,37
"27728","bldr.us",36,38
"132761","lancaster.uk",36,39
"166255","pinj.au",36,40
"167391","potrok.ar",36,41
"256079","yarra.au",36,42
"185605","sedg.us",38,43
"227167","tejon_north.us",38,44
"104889","jorn.us",39,45
"105163","kark.se",39,46
"232246","tmlr.is",40,47
"169169","rook.uk",41,48
"6121","amlr.is",42,49
"69507","doane.us",42,50
"78691","frue.ch",42,51
"78135","bari.ar",43,52
"252740","vass.se",43,53
"75132","ethamc.au",45,54
"226941","tejon_foot.us",45,55
"20649","bnbt.us",46,56
"21287","bogong.au",46,57
"76351","ethass.au",46,58
"33752","burrawan.au",47,59
"84483","hnvr.us",48,60
"160568","niwo.us",48,61
"177353","sage.us",48,62
"252355","varheath.no",48,63
"74860","elva.ee",51,64
"121885","koffler.ca",51,65
"161257","ovor.mn",52,66
"81458","gall.it",53,67
"72039","elliot.us",54,68
"85666","hart.us",54,69
"83026","hall.us",55,70
"98951","hustai.mn",55,71
"137259","look.us",55,72
"183433","sandhill.us",55,73
"235431","tyso.us",55,74
"16114","barta.us",56,75
"220293","spin.us",56,76
"148489","msla.us",57,77
"29782","bnch.us",58,78
"88152","hero.uk",58,79
"4061","ahth.is",62,80
"212065","smith.us",62,81
"37464","bttr.us",63,82
"231442","thth.is",63,83
"77696","fnly.us",67,84
"167021","podo.ec",67,85
"130924","konzn1b.us",68,86
"140656","marc.ar",68,87
"525","anti.ec",69,88
"13606","badlau.de",69,89
"70320","unc.us",69,90
"100890","jena.de",69,91
"252888","veluwe.nl",70,92
"18090","bayr.de",71,93
"153131","mtca.au",73,94
"162912","pich.ec",73,95
"12253","azitwo.cn",74,96
"105342","kbs.us",74,97
"184201","sava.us",74,98
"199632","sgs.us",76,99
"135241","chilcas.ar",77,100
"143626","mcdan.us",77,101
"187781","sereng.tz",77,102
"144334","mcla.us",78,103
"193214","shps.us",78,104
"149754","gilb.za",79,105
"189869","sevi.us",79,106
"1764","arch.us",81,107
"251472","vargrass.no",82,108
"120918","kirik.ee",83,109
"209093","burren.ie",85,110
"44510","cdpt.us",89,111
"7479","azi.cn",90,112
"117642","kiny.au",91,113
"131284","lake.us",91,114
"63215","comp.pt",92,115
"125263","konz.us",97,116
"227652","temple.us",98,117
"57530","cbgb.us",101,118
"110953","kilp.fi",108,119
"223442","summ.za",108,120
"171369","saana.fi",109,121
"37903","cdcr.us",113,122
"180322","saline.us",118,123
"241978","valm.ch",121,124
"202908","sier.us",127,125
"92212","hopl.us",131,126
"53510","cereep.fr",135,127
"236697","ukul.za",160,128
