"","year","year_trt","trt","site_name","site_code","block","plot","subplot","mass","category","live"
"56049",2015,0,"Control","Slieve Carran","burren.ie",1,1,"A",0.2,"BRYOPHYTE","1"
"56050",2015,0,"Control","Slieve Carran","burren.ie",1,1,"A",102.5,"FORB","1"
"56051",2015,0,"Control","Slieve Carran","burren.ie",1,1,"A",96.75,"GRAMINOID","1"
"56052",2015,0,"Control","Slieve Carran","burren.ie",1,1,"A",17.2,"LEGUME","1"
"56053",2015,0,"Control","Slieve Carran","burren.ie",1,1,"A",139.65,"LITTER","0"
"56054",2015,0,"PK","Slieve Carran","burren.ie",1,2,"B",59.1,"FORB","1"
"56055",2015,0,"PK","Slieve Carran","burren.ie",1,2,"B",175.25,"GRAMINOID","1"
"56056",2015,0,"PK","Slieve Carran","burren.ie",1,2,"B",13.25,"LEGUME","1"
"56057",2015,0,"PK","Slieve Carran","burren.ie",1,2,"B",146.7,"LITTER","0"
"56058",2015,0,"NK","Slieve Carran","burren.ie",1,3,"D",0.05,"BRYOPHYTE","1"
"56059",2015,0,"NK","Slieve Carran","burren.ie",1,3,"D",89.2,"FORB","1"
"56060",2015,0,"NK","Slieve Carran","burren.ie",1,3,"D",150.25,"GRAMINOID","1"
"56061",2015,0,"NK","Slieve Carran","burren.ie",1,3,"D",14.9,"LEGUME","1"
"56062",2015,0,"NK","Slieve Carran","burren.ie",1,3,"D",86.55,"LITTER","0"
"56063",2015,0,"NP","Slieve Carran","burren.ie",1,4,"D",0.1,"BRYOPHYTE","1"
"56064",2015,0,"NP","Slieve Carran","burren.ie",1,4,"D",112.25,"FORB","1"
"56065",2015,0,"NP","Slieve Carran","burren.ie",1,4,"D",86.45,"GRAMINOID","1"
"56066",2015,0,"NP","Slieve Carran","burren.ie",1,4,"D",15,"LEGUME","1"
"56067",2015,0,"NP","Slieve Carran","burren.ie",1,4,"D",107.45,"LITTER","0"
"56068",2015,0,"Fence","Slieve Carran","burren.ie",1,5,"A",81.85,"FORB","1"
"56069",2015,0,"Fence","Slieve Carran","burren.ie",1,5,"A",131.8,"GRAMINOID","1"
"56070",2015,0,"Fence","Slieve Carran","burren.ie",1,5,"A",18.75,"LEGUME","1"
"56071",2015,0,"Fence","Slieve Carran","burren.ie",1,5,"A",200.15,"LITTER","0"
"56072",2015,0,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",65.55,"FORB","1"
"56073",2015,0,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",201.5,"GRAMINOID","1"
"56074",2015,0,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",7.05,"LEGUME","1"
"56075",2015,0,"NPK+Fence","Slieve Carran","burren.ie",1,6,"B",185.2,"LITTER","0"
"56076",2015,0,"P","Slieve Carran","burren.ie",1,7,"C",82.1,"FORB","1"
"56077",2015,0,"P","Slieve Carran","burren.ie",1,7,"C",144,"GRAMINOID","1"
"56078",2015,0,"P","Slieve Carran","burren.ie",1,7,"C",9.15,"LEGUME","1"
"56079",2015,0,"P","Slieve Carran","burren.ie",1,7,"C",169.55,"LITTER","0"
"56080",2015,0,"N","Slieve Carran","burren.ie",1,8,"C",117.4,"FORB","1"
"56081",2015,0,"N","Slieve Carran","burren.ie",1,8,"C",118.4,"GRAMINOID","1"
"56082",2015,0,"N","Slieve Carran","burren.ie",1,8,"C",12.3,"LEGUME","1"
"56083",2015,0,"N","Slieve Carran","burren.ie",1,8,"C",181.85,"LITTER","0"
"56084",2015,0,"K","Slieve Carran","burren.ie",1,9,"D",0.25,"BRYOPHYTE","1"
