"","year","site_name","site_code","block","plot","subplot","year_trt","trt","Family","Taxon","live","local_provenance","local_lifeform","local_lifespan","functional_group","N_fixer","ps_path","max_cover"
"209093",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Compositae","ACHILLEA MILLEFOLIUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209094",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Poaceae","AGROSTIS STOLONIFERA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",10
"209095",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",21
"209096",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Poaceae","BRIZA MEDIA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209097",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",20
"209098",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",10
"209099",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",15
"209100",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Betulaceae","CORYLUS AVELLANA",1,"NAT","SHRUB","PERENNIAL","WOODY","0","NULL",1
"209101",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",2
"209102",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209103",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Rubiaceae","GALIUM VERUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209104",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","NULL","GROUND",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",50
"209105",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",3
