site,block,plot,subplot,taxa,mass,mass g/m2 (mass x 5),date,note_biomass
Slieve Carran,1,1,A,1. Previous years dead,69.98,349.9,01/08/2019,
Slieve Carran,1,1,A,2. CY Bryophytes,0.2,1,01/08/2019,
Slieve Carran,1,1,A,3. CY Graminoids,104.88,524.4,01/08/2019,
Slieve Carran,1,1,A,4. CY Legumes,2.1,10.49,01/08/2019,
Slieve Carran,1,1,A,5. CY Non Legume forb,45.34,226.69,01/08/2019,
Slieve Carran,1,1,A,6. CY Woody Growth,6.41,32.04,01/08/2019,
Slieve Carran,1,2,B,1. Previous years dead,17.33,86.64,01/08/2019,
Slieve Carran,1,2,B,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,2,B,3. CY Graminoids,68.77,343.85,01/08/2019,
Slieve Carran,1,2,B,4. CY Legumes,31.78,158.9,01/08/2019,
Slieve Carran,1,2,B,5. CY Non Legume forb,45.05,225.24,01/08/2019,
Slieve Carran,1,2,B,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,3,D,1. Previous years dead,35.34,176.7,01/08/2019,
Slieve Carran,1,3,D,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,3,D,3. CY Graminoids,113.07,565.35,01/08/2019,
Slieve Carran,1,3,D,4. CY Legumes,5.31,26.54,01/08/2019,
Slieve Carran,1,3,D,5. CY Non Legume forb,53.74,268.7,01/08/2019,
Slieve Carran,1,3,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,4,D,1. Previous years dead,12.31,61.54,01/08/2019,
Slieve Carran,1,4,D,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,4,D,3. CY Graminoids,220.17,1100.85,01/08/2019,
Slieve Carran,1,4,D,4. CY Legumes,5.058,25.29,01/08/2019,
Slieve Carran,1,4,D,5. CY Non Legume forb,34.64,173.19,01/08/2019,
Slieve Carran,1,4,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,5,A,1. Previous years dead,70.67,353.35,01/08/2019,
Slieve Carran,1,5,A,2. CY Bryophytes,0.09,0.45,01/08/2019,
Slieve Carran,1,5,A,3. CY Graminoids,128.83,644.15,01/08/2019,
Slieve Carran,1,5,A,4. CY Legumes,10.18,50.9,01/08/2019,
Slieve Carran,1,5,A,5. CY Non Legume forb,48.78,243.89,01/08/2019,
Slieve Carran,1,5,A,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,6,B,1. Previous years dead,95.76,478.8,01/08/2019,
Slieve Carran,1,6,B,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,6,B,3. CY Graminoids,226.09,1130.45,01/08/2019,
Slieve Carran,1,6,B,4. CY Legumes,23.7,118.5,01/08/2019,
Slieve Carran,1,6,B,5. CY Non Legume forb,0,0,01/08/2019,
Slieve Carran,1,6,B,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,7,C,1. Previous years dead,36.32,181.6,01/08/2019,
Slieve Carran,1,7,C,2. CY Bryophytes,,0,01/08/2019,
Slieve Carran,1,7,C,3. CY Graminoids,141.54,707.7,01/08/2019,
Slieve Carran,1,7,C,4. CY Legumes,11.94,59.69,01/08/2019,
Slieve Carran,1,7,C,5. CY Non Legume forb,7.31,36.54,01/08/2019,
Slieve Carran,1,7,C,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,8,C,1. Previous years dead,26.29,131.45,01/08/2019,
Slieve Carran,1,8,C,2. CY Bryophytes,0.07,0.35,01/08/2019,
Slieve Carran,1,8,C,3. CY Graminoids,99.25,496.25,01/08/2019,
Slieve Carran,1,8,C,4. CY Legumes,6.89,34.44,01/08/2019,
