site,block,plot,subplot,taxa,cover,Date,Note_Cover,,
Slieve Carran,1,1,A,Achillea millefolium,3,30/07/2019,,,
Slieve Carran,1,1,A,Agrostis capillaris,10,30/07/2019,,,
Slieve Carran,1,1,A,Anthoxanthum odoratum,8,30/07/2019,,,
Slieve Carran,1,1,A,Briza media,2,30/07/2019,,, 
Slieve Carran,1,1,A,Bryophytes,1,30/07/2019,,,
Slieve Carran,1,1,A,Carex caryophyllea,1,30/07/2019,,,
Slieve Carran,1,1,A,Carex flacca,20,30/07/2019,,,
Slieve Carran,1,1,A,Carex panicea,1,30/07/2019,,,
Slieve Carran,1,1,A,Centaurea nigra,25,30/07/2019,,,
Slieve Carran,1,1,A,Corylus avellana,2,30/07/2019,,,
Slieve Carran,1,1,A,Dactylis glomerata,15,30/07/2019,,,
Slieve Carran,1,1,A,Euphrasia species,1,30/07/2019,,,
Slieve Carran,1,1,A,Festuca rubra,4,30/07/2019,,,
Slieve Carran,1,1,A,Galium verum,1,30/07/2019,,,
Slieve Carran,1,1,A,Helictotrichon pubescens,1,30/07/2019,,,
Slieve Carran,1,1,A,Holcus lanatus,2,30/07/2019,,,
Slieve Carran,1,1,A,Hypochaeris  radicata,3,30/07/2019,,,
Slieve Carran,1,1,A,Koeleria macrantha,1,30/07/2019,,,
Slieve Carran,1,1,A,Lathyrus linifolius,3,30/07/2019,,,
Slieve Carran,1,1,A,Lathyrus pratensis,1,30/07/2019,,,
Slieve Carran,1,1,A,Litter,23,30/07/2019,,,
Slieve Carran,1,1,A,Lotus  corniculatus,4,30/07/2019,,,
Slieve Carran,1,1,A,Plantago lanceolata,10,30/07/2019,,,
Slieve Carran,1,1,A,Potentilla erecta,5,30/07/2019,,,
Slieve Carran,1,1,A,Prunella vulgaris,2,30/07/2019,,,
Slieve Carran,1,1,A,Pteridium aquilinum,15,30/07/2019,,,
Slieve Carran,1,1,A,Rosa spinosissima,1,30/07/2019,,,
Slieve Carran,1,1,A,Succisa pratensis,10,30/07/2019,,,
Slieve Carran,1,1,A,Trifolium pratense,3,30/07/2019,,,
Slieve Carran,1,1,A,Trifolium repens,2,30/07/2019,,,
Slieve Carran,1,1,A,Vicia cracca,3,30/07/2019,,,
Slieve Carran,1,2,B,Achillea millefolium,1,30/07/2019,,,
Slieve Carran,1,2,B,Agrostis capillaris,2,30/07/2019,,,
Slieve Carran,1,2,B,Cerastium fontanum,3,30/07/2019,,,
Slieve Carran,1,2,B,Dactylis glomerata,30,30/07/2019,,,
Slieve Carran,1,2,B,Holcus lanatus,70,30/07/2019,,,
Slieve Carran,1,2,B,Lathyrus pratensis,5,30/07/2019,,,
Slieve Carran,1,2,B,Litter,90,30/07/2019,,,
Slieve Carran,1,2,B,Plantago lanceolata,2,30/07/2019,,,
Slieve Carran,1,2,B,Potentilla erecta,1,30/07/2019,,,
Slieve Carran,1,2,B,Ranunculus acris,10,30/07/2019,,,
Slieve Carran,1,2,B,Ranunculus repens,5,30/07/2019,,,
Slieve Carran,1,2,B,Rumex acetosa,1,30/07/2019,,,
Slieve Carran,1,2,B,Trifolium pratense,2,30/07/2019,,,
