site,block,plot,subplot,taxa,mass,mass g/m2 (mass x 5),date,note_biomass,,,,,,
Slieve Carran,1,1,A,1. Previous years dead,52.22,261.10,2020-07-29,,,,,,,
Slieve Carran,1,1,A,2. CY Bryophytes,0.14,0.70,2020-07-29,,,,,,,
Slieve Carran,1,1,A,3. CY Graminoids,58.41,292.05,2020-07-29,,,,,,,
Slieve Carran,1,1,A,4. CY Legumes,3.54,17.70,2020-07-29,,,,,,,
Slieve Carran,1,1,A,5. CY Non Legume forb,37.99,189.95,2020-07-29,,,,,,,
Slieve Carran,1,1,A,6. CY Woody Growth,0.00,0.00,2020-07-29,,,,,,,
Slieve Carran,1,2,B,1. Previous years dead,16.70,83.50,2020-07-29,,,,,,,
Slieve Carran,1,2,B,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,2,B,3. CY Graminoids,22.75,113.75,2020-07-29,,,,,,,
Slieve Carran,1,2,B,4. CY Legumes,7.02,35.10,2020-07-29,,,,,,,
Slieve Carran,1,2,B,5. CY Non Legume forb,58.05,290.25,2020-07-29,,,,,,,
Slieve Carran,1,2,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,3,D,1. Previous years dead,29.22,146.10,2020-07-29,,,,,,,
Slieve Carran,1,3,D,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,3,D,3. CY Graminoids,53.02,265.10,2020-07-29,,,,,,,
Slieve Carran,1,3,D,4. CY Legumes,1.59,7.95,2020-07-29,,,,,,,
Slieve Carran,1,3,D,5. CY Non Legume forb,16.08,80.40,2020-07-29,,,,,,,
Slieve Carran,1,3,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,4,D,1. Previous years dead,20.30,101.50,2020-07-29,,,,,,,
Slieve Carran,1,4,D,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,4,D,3. CY Graminoids,124.45,622.25,2020-07-29,,,,,,,
Slieve Carran,1,4,D,4. CY Legumes,1.81,9.05,2020-07-29,,,,,,,
Slieve Carran,1,4,D,5. CY Non Legume forb,6.56,32.80,2020-07-29,,,,,,,
Slieve Carran,1,4,D,6. CY Woody Growth,,0.00,2020-07-29,,,,,,,
Slieve Carran,1,5,A,1. Previous years dead,82.26,411.30,2020-07-29,,,,,,,
Slieve Carran,1,5,A,2. CY Bryophytes,0.18,0.90,2020-07-29,,,,,,,
Slieve Carran,1,5,A,3. CY Graminoids,135.12,675.60,2020-07-29,,,,,,,
Slieve Carran,1,5,A,4. CY Legumes,0.39,1.95,2020-07-29,,,,,,,
Slieve Carran,1,5,A,5. CY Non Legume forb,15.22,76.10,2020-07-29,,,,,,,
Slieve Carran,1,5,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,6,B,1. Previous years dead,82.77,413.85,2020-07-29,,,,,,,
Slieve Carran,1,6,B,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,6,B,3. CY Graminoids,108.66,543.30,2020-07-29,,,,,,,
Slieve Carran,1,6,B,4. CY Legumes,8.07,40.35,2020-07-29,,,,,,,
Slieve Carran,1,6,B,5. CY Non Legume forb,4.7,23.50,2020-07-29,,,,,,,
Slieve Carran,1,6,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,7,C,1. Previous years dead,27.63,138.15,2020-07-29,,,,,,,
Slieve Carran,1,7,C,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,7,C,3. CY Graminoids,48.55,242.75,2020-07-29,,,,,,,
Slieve Carran,1,7,C,4. CY Legumes,4.58,22.90,2020-07-29,,,,,,,
Slieve Carran,1,7,C,5. CY Non Legume forb,6.08,30.40,2020-07-29,,,,,,,
Slieve Carran,1,7,C,6. CY Woody Growth,,0.00,2020-07-29,,,,,,,
Slieve Carran,1,8,C,1. Previous years dead,26.59,132.95,2020-07-29,,,,,,,
Slieve Carran,1,8,C,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,8,C,3. CY Graminoids,79.84,399.20,2020-07-29,,,,,,,
Slieve Carran,1,8,C,4. CY Legumes,3.08,15.40,2020-07-29,,,,,,,
Slieve Carran,1,8,C,5. CY Non Legume forb,23.89,119.45,2020-07-29,,,,,,,
Slieve Carran,1,8,C,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,9,D,1. Previous years dead,37.03,185.15,2020-07-29,,,,,,,
